creative,ad_tone
HOUSE/KS02 DELAISLA&DCCC WHEN I NEEDED IT MOST,Support
HOUSE/KS02 LATURNER HOME,Contrast
HOUSE/KS02 LATURNER RADICAL MAYOR,Contrast
HOUSE/KS02 LATURNER SOCIALIST BACKED RADICAL,Contrast
HOUSE/KS02 LATURNER&KSRP HOME,Contrast
HOUSE/KS03 ADKINS CRISIS,Contrast
HOUSE/KS03 ADKINS DISTRACT YOU,Contrast
HOUSE/KS03 ADKINS HARD TIMES,Support
HOUSE/KS03 ADKINS POLITICS IS A DISGRACE,Support
HOUSE/KS03 DAVIDS BIG CHALLENGES,Support
HOUSE/KS03 DAVIDS BROWNBACK PT TWO,Contrast
HOUSE/KS03 DAVIDS COMMUNITY COLLEGE TO IVY LEAGUE,Support
HOUSE/KS03 DAVIDS CORONAVIRUS,Support
HOUSE/KS03 DAVIDS FAILED EXPERIMENT,Contrast
HOUSE/KS03 DAVIDS HEATHER,Support
HOUSE/KS03 DAVIDS OUR INCREDIBLE GOVERNOR,Contrast
HOUSE/KS03 DAVIDS REPUBLICANS,Support
HOUSE/KS03 DAVIDS STOP THERE,Contrast
HOUSE/KS03 DAVIDS TEN THOUSAND REASONS,Support
HOUSE/KS03 DAVIDS WE ALREADY KNOW,Contrast
HOUSE/KS03 DAVIDS WHEN THE VIRUS HIT,Support
HOUSE/KS03 DAVIDS&DCCC FAILED EXPERIMENT,Contrast
HOUSE/KS04 ESTES EXTREMISTS,Support
HOUSE/KS04 ESTES MADE IN AMERICA,Support
HOUSE/KS04 ESTES QUALITY AND AFFORDABLE HEALTHCARE,Support
HOUSE/KS04 ESTES TIMELY TARGETED TEMPORARY,Support
HOUSE/KS04 LOMBARD DESTROY KANSAS,Contrast
HOUSE/KY06 BARR A PIECE OF YOUR PAYCHECK,Contrast
HOUSE/KY06 BARR ABORTION,Contrast
HOUSE/KY06 BARR BANKROLLING,Contrast
HOUSE/KY06 BARR CAMP NELSON,Support
HOUSE/KY06 BARR CHINA,Contrast
HOUSE/KY06 BARR DAVID CHARLES,Contrast
HOUSE/KY06 BARR DAVID NISBET,Support
HOUSE/KY06 BARR DOCTOR GEORGE,Contrast
HOUSE/KY06 BARR FRONTLINES,Support
HOUSE/KY06 BARR HINTON MILLS,Support
HOUSE/KY06 BARR HUCKSTER,Contrast
HOUSE/KY06 BARR HUCKSTER BEARD,Contrast
HOUSE/KY06 BARR KATHY,Contrast
HOUSE/KY06 BARR KENTUCKIANS ARE STRONG 60,Support
HOUSE/KY06 BARR MATT BRADFORD,Support
HOUSE/KY06 BARR PREEXISTING CONDITIONS,Support
HOUSE/KY06 BARR RADICAL MOBS,Contrast
HOUSE/KY06 BARR REID AND GEORGE,Support
HOUSE/KY06 BARR SHELLEY,Contrast
HOUSE/KY06 BARR SOCIALIST PLAN,Contrast
HOUSE/KY06 BARR STEPHANIE,Support
HOUSE/KY06 BARR THE GREATEST GIFT,Support
HOUSE/KY06 BARR WHO CAN WE TRUST BORDER,Contrast
HOUSE/KY06 HICKS AFTER THE MARINES,Contrast
HOUSE/KY06 HICKS ALL SORTS OF JOBS,Support
HOUSE/KY06 HICKS CAN'T LET A LIE STAND,Support
HOUSE/KY06 HICKS CLAWED MY WAY UP,Support
HOUSE/KY06 HICKS LOTTA FOLKS ARE STRUGGLING,Support
HOUSE/KY06 HICKS MY MOM,Support
HOUSE/KY06 HICKS MY WIFE,Contrast
HOUSE/KY06 HICKS SLUSH FUND,Contrast
HOUSE/KY06 HICKS SOME FOLKS SAY,Support
HOUSE/KY06 HICKS TAKING MONEY,Contrast
HOUSE/KY06 HICKS THE CORRUPT ELITES,Contrast
HOUSE/LA01 SCALISE DANGEROUS RADICALS,Support
HOUSE/LA01 SCALISE PREEXISTING CONDITIONS,Support
HOUSE/LA01 SCALISE WHEN AMERICA SETS A GOAL,Support
HOUSE/LA03 ANDERSON DOESN'T HAVE TO BE LIKE THIS,Support
HOUSE/LA03 ANDERSON GREG,Contrast
HOUSE/LA03 ANDERSON JERRY,Support
HOUSE/LA03 ANDERSON TOY SOLDIERS,Support
HOUSE/LA03 HIGGINS AMERICA THE BEAUTIFUL 60,Support
HOUSE/LA04 JOHNSON EXTREMISTS,Support
HOUSE/LA04 JOHNSON IN FEBRUARY,Support
HOUSE/LA04 JOHNSON MY DAD,Support
HOUSE/LA06 GRAVES CONGRATULATIONS,Support
HOUSE/LA06 GRAVES PROMISES 60,Support
HOUSE/LA06 WILLIAMS DIGGING GRAVES,Support
HOUSE/MA01 MORSE POWER 60,Contrast
HOUSE/MA01 NEAL KNOW THAT KID,Support
HOUSE/MA01 NEAL MOST CHALLENGING TIME,Support
HOUSE/MA01 NEAL NANCY PELOSI,Support
HOUSE/MA01 NEAL SISTER MARY WAYS AND MEANS,Support
HOUSE/MA01 NEAL STEVE WILLIAMS,Support
HOUSE/MA04 AUCHINCLOSS RESPONSIBILITY,Support
HOUSE/MA04 GROSSMAN MY MOM,Support
HOUSE/MA04 LECKEY IN THIS CRISIS,Support
HOUSE/MA04 LINOS AS A MOM,Support
HOUSE/MA04 MERMELL A LOT OF CANDIDATES,Support
HOUSE/MA05 COLARUSSO REPUBLICAN FOR CONGRESS SP,Support
HOUSE/MD01 MASON SERVED,Contrast
HOUSE/MD07 KLACIK FIGHTING FOR EVERY OPPORTUNITY,Support
HOUSE/MD07 KLACIK HER,Support
HOUSE/MD07 KLACIK NOT THERE FOR YOU,Support
HOUSE/MD07 KLACIK SCHOOLS,Support
HOUSE/MD07 KLACIK THE CRIME BILL,Support
HOUSE/MD07 KLACIK WHEN I STARTED,Support
HOUSE/ME02 CRAFTS BURNING AND LOOTING,Contrast
HOUSE/ME02 CRAFTS STAND UP,Support
HOUSE/ME02 CRAFTS&NRCC BURNING AND LOOTING,Contrast
HOUSE/ME02 CRAFTS&NRCC STAND UP,Support
HOUSE/ME02 CRAFTS&NRCC THE SAME THING,Contrast
HOUSE/ME02 GOLDEN ALLISON,Contrast
HOUSE/ME02 GOLDEN BILL COHEN,Support
HOUSE/ME02 GOLDEN CRAIG POULEN,Support
HOUSE/ME02 GOLDEN DEMOCRAT AND A REPUBLICAN,Support
HOUSE/ME02 GOLDEN KEEPING AMERICA SAFE,Support
HOUSE/ME02 GOLDEN NINE HOURS,Support
HOUSE/ME02 GOLDEN REPEAL THE ACA,Contrast
HOUSE/ME02 GOLDEN STEPHEN,Support
HOUSE/ME02 GOLDEN WASHINGTON NEEDED A PRESCRIPTION,Support
HOUSE/ME02 GOLDEN&DCCC HAULING TRAPS,Support
HOUSE/MI02 HUIZENGA 24 7 JOB,Support
HOUSE/MI02 HUIZENGA AS A SMALL BUSINESS OWNER,Support
HOUSE/MI02 HUIZENGA MOVING FORWARD,Support
HOUSE/MI02 HUIZENGA MOVING FORWARD FOOTBALL,Support
HOUSE/MI03 MEIJER BEHIND THE CURTAIN,Contrast
HOUSE/MI03 MEIJER GEORGE THOMAS,Support
HOUSE/MI03 MEIJER HARD WORK HONESTY SERVICE,Support
HOUSE/MI03 MEIJER THE COMPANY YOU KEEP,Contrast
HOUSE/MI03 SCHOLTEN AT THEIR AGE,Contrast
HOUSE/MI03 SCHOLTEN CHURCH ONLINE,Support
HOUSE/MI03 SCHOLTEN FAITH ISN'T JUST FOR SUNDAY,Support
HOUSE/MI03 SCHOLTEN MARTA,Contrast
HOUSE/MI03 SCHOLTEN MEDICAL BILLS,Support
HOUSE/MI03 SCHOLTEN MY STREET,Support
HOUSE/MI03 SCHOLTEN NO GOOD TIME,Contrast
HOUSE/MI03 SCHOLTEN REPUBLICAN ALL MY LIFE,Support
HOUSE/MI03 SCHOLTEN THE DEPARTMENT OF JUSTICE,Support
HOUSE/MI05 KILDEE TIRED OF THE BICKERING,Support
HOUSE/MI06 HOADLEY GUT PUNCH,Support
HOUSE/MI06 HOADLEY LORI,Attack
HOUSE/MI06 HOADLEY NURSES,Support
HOUSE/MI06 HOADLEY&DCCC LIES,Attack
HOUSE/MI06 UPTON DANIEL ABBOTT,Support
HOUSE/MI06 UPTON GONE TOO FAR,Attack
HOUSE/MI06 UPTON GONE TOO FAR COLOR CORRECTED,Attack
HOUSE/MI06 UPTON HIT HARD,Contrast
HOUSE/MI06 UPTON JON WANTS A PROMOTION,Attack
HOUSE/MI06 UPTON RICHARD CLARK,Support
HOUSE/MI06 UPTON THREE QUESTIONS,Support
HOUSE/MI06 UPTON WANTS TO HELP PEOPLE,Support
HOUSE/MI07 DRISKELL THE RECORD,Contrast
HOUSE/MI07 DRISKELL TIMES LIKE THESE,Contrast
HOUSE/MI07 WALBERG HIT US HARD,Contrast
HOUSE/MI07 WALBERG REJECTED,Contrast
HOUSE/MI08 JUNGE PARTY BEFORE COUNTRY 15,Contrast
HOUSE/MI08 JUNGE SERVED AS A PROSECUTOR,Support
HOUSE/MI08 JUNGE WE NEEDED HELP,Contrast
HOUSE/MI08 SLOTKIN BETTER THAN OUR POLITICS,Support
HOUSE/MI08 SLOTKIN MOM WAS A FIGHTER,Support
HOUSE/MI08 SLOTKIN SPEAK ABOUT MY MOTHER,Contrast
HOUSE/MI08 SLOTKIN THREE TOURS IN IRAQ,Support
HOUSE/MI08 SLOTKIN TIME OF CRISIS,Support
HOUSE/MI08 SLOTKIN WHAT MANUFACTURING LOOKS LIKE,Support
HOUSE/MI11 ESSHAKI NURSE,Support
HOUSE/MI11 ESSHAKI&MIRP EMBARRASSMENT,Contrast
HOUSE/MI11 STEVENS A PLAN THEY CAN RELY ON,Contrast
HOUSE/MI11 STEVENS AUTO TASK FORCE,Support
HOUSE/MI11 STEVENS GOOD PAYING JOBS,Support
HOUSE/MI11 STEVENS ROUND THE CLOCK,Support
HOUSE/MI11 STEVENS&DCCC PAUL RYZNAR,Support
HOUSE/MN01 FEEHAN ABOVE ALL ELSE,Contrast
HOUSE/MN01 FEEHAN BUSINESS AS USUAL,Contrast
HOUSE/MN01 FEEHAN CAN'T QUIT,Support
HOUSE/MN01 FEEHAN SHRAPNEL,Contrast
HOUSE/MN01 FEEHAN&DCCC CAN'T QUIT,Support
HOUSE/MN02 CRAIG BREWERY,Support
HOUSE/MN02 CRAIG COLLEGE JOSH,Support
HOUSE/MN02 CRAIG NEVER GIVE UP,Support
HOUSE/MN02 CRAIG&DCCC STRUGGLE AND SACRIFICE,Support
HOUSE/MN02 KISTNER THE LAND I DEFEND,Support
HOUSE/MN02 KISTNER THREE YEARS AGO,Contrast
HOUSE/MN03 QUALLS BUS IN HARLEM,Support
HOUSE/MN03 QUALLS LOOK LIKE ME,Support
HOUSE/MN03 QUALLS OVERCAME POVERTY,Contrast
HOUSE/MN05 JOHNSON BARBERSHOP TALK POLICE,Support
HOUSE/MN05 JOHNSON BREAKS MY HEART 60,Support
HOUSE/MN05 JOHNSON WHEN LEADERS LED,Support
HOUSE/MN07 FISCHBACH&NRCC ALLY,Contrast
HOUSE/MN07 FISCHBACH&NRCC ILHAN OMAR,Contrast
HOUSE/MN07 FISCHBACH&NRCC THE LIBERAL MOB,Contrast
HOUSE/MN07 FISCHBACH&NRCC THE PELOSI PLAN,Contrast
HOUSE/MN07 PETERSON A FAIR SHOT,Support
HOUSE/MN07 PETERSON FORTY TWO HOSPITALS,Support
HOUSE/MN07 PETERSON KURT WICKSTROM,Support
HOUSE/MN07 PETERSON LIES,Contrast
HOUSE/MN07 PETERSON MARY ELLEN WELLS,Contrast
HOUSE/MN07 PETERSON ONE HUNDRED YEARS,Support
HOUSE/MN07 PETERSON THE PARTY LINE,Contrast
HOUSE/MN07 PETERSON TOO MANY LAWYERS,Support
HOUSE/MN08 NYSTROM DIABETES,Contrast
HOUSE/MN08 NYSTROM TWO VIALS OF INSULIN,Contrast
HOUSE/MO02 SCHUPP COMMON THREAD,Support
HOUSE/MO02 SCHUPP FALSE AND MISLEADING,Contrast
HOUSE/MO02 SCHUPP HAROLD DIELMANN,Contrast
HOUSE/MO02 SCHUPP MICHELLE,Contrast
HOUSE/MO02 SCHUPP NEVER INTENDED TO RUN,Contrast
HOUSE/MO02 SCHUPP NINETY EIGHT DEGREES,Support
HOUSE/MO02 SCHUPP SPENT THEIR TIME,Contrast
HOUSE/MO02 SCHUPP TIRED,Support
HOUSE/MO02 SCHUPP TWISTED ATTACK,Contrast
HOUSE/MO02 SCHUPP WHAT HAPPENED,Attack
HOUSE/MO02 SCHUPP WHY AREN'T YOU SUPPORTING ANN,Contrast
HOUSE/MO02 WAGNER DAVID TROUSDALE,Support
HOUSE/MO02 WAGNER DISHONEST ADS,Contrast
HOUSE/MO02 WAGNER HARD TO FIND 60,Support
HOUSE/MO02 WAGNER JENNIFER,Support
HOUSE/MO02 WAGNER KIM MINOR,Support
HOUSE/MO02 WAGNER KIMBERLE JONES,Support
HOUSE/MO02 WAGNER LIBERAL RADICALS,Contrast
HOUSE/MO02 WAGNER MEDICARE FOR ALL,Contrast
HOUSE/MO02 WAGNER RECORD ON CRIME,Contrast
HOUSE/MO02 WAGNER SAFE,Contrast
HOUSE/MO02 WAGNER THINK WE'RE STUPID,Contrast
HOUSE/MO02 WAGNER TIME AND TIME AGAIN,Contrast
HOUSE/MO02 WAGNER TWENTY YEAR CARREER,Contrast
HOUSE/MO04 SIMMONS WHAT HAS SHE DONE IN CONGRESS,Contrast
HOUSE/MO07 RICHARDS BORN AND RAISED,Support
HOUSE/MT01 ROSENDALE PELOSI NEEDS IT,Contrast
HOUSE/MT01 ROSENDALE REAL HARD WORK,Support
HOUSE/MT01 ROSENDALE SANDEE,Support
HOUSE/MT01 ROSENDALE THE REAL KATHLEEN,Contrast
HOUSE/MT01 ROSENDALE&NRCC A LOT OF HANDS,Support
HOUSE/MT01 WILLIAMS ALAN CHARLES,Support
HOUSE/MT01 WILLIAMS ALAN CHARLES REPUBLICAN,Support
HOUSE/MT01 WILLIAMS BORN HERE,Support
HOUSE/MT01 WILLIAMS GET OUT OF OUR WAY,Support
HOUSE/MT01 WILLIAMS JUST DON'T FIT,Support
HOUSE/MT01 WILLIAMS ROADBLOCK,Support
HOUSE/MT01 WILLIAMS THE MONTANA WAY,Contrast
HOUSE/MT01 WILLIAMS THE WASHINGTON PLAYBOOK,Support
HOUSE/MT01 WILLIAMS&DCCC JUST DON'T FIT,Support
HOUSE/NC08 HUDSON KITCHEN,Support
HOUSE/NC08 HUDSON MADE A NAME FOR HERSELF,Contrast
HOUSE/NC08 HUDSON PRESCRIPTION DRUGS,Support
HOUSE/NC08 HUDSON SOFTIE,Contrast
HOUSE/NC08 TIMMONS-GOODSON GROWING UP,Support
HOUSE/NC08 TIMMONS-GOODSON ON THE BENCH,Support
HOUSE/NC08 TIMMONS-GOODSON PROUD,Contrast
HOUSE/NC08 TIMMONS-GOODSON SHARP AS A TACK,Support
HOUSE/NC08 TIMMONS-GOODSON&DCCC VIOLENCE AGAINST WOMEN ACT,Contrast
HOUSE/NC08 TIMMONS-GOODSON&DCCC WHEN COVID STRUCK,Contrast
HOUSE/NC09 BISHOP COVID HAS BEEN A CHALLENGE,Support
HOUSE/NC09 BISHOP REBECCA WALTER,Support
HOUSE/NC11 CAWTHORN 8TH GENERATION,Support
HOUSE/NC11 CAWTHORN HOW MUCH DO YOU REALLY KNOW,Support
HOUSE/NC11 CAWTHORN TWO VERY DIFFERENT CHOICES,Support
HOUSE/NC11 CAWTHORN TWO VERY DIFFERENT CHOICES NARRATOR,Contrast
HOUSE/NC11 CAWTHORN&NRCC EXTREME LIBERAL,Contrast
HOUSE/NC11 CAWTHORN&NRCC RADICAL PLAN,Contrast
HOUSE/NC11 DAVIS AIR FORCE,Support
HOUSE/NC11 DAVIS COUNTRY OVER PARTY,Support
HOUSE/NC11 DAVIS GETTING IT WRONG,Contrast
HOUSE/NC11 DAVIS LIES KEEP COMING,Contrast
HOUSE/NE01 BOLZ CHORES,Contrast
HOUSE/NE01 BOLZ CHRISTINE,Contrast
HOUSE/NE01 BOLZ LISTENING,Contrast
HOUSE/NE01 FORTENBERRY DENNIS,Contrast
HOUSE/NE01 FORTENBERRY MARK NEMEC 60,Support
HOUSE/NE01 FORTENBERRY PROUD OF SOMETHING,Support
HOUSE/NE01 FORTENBERRY SHOW UP,Attack
HOUSE/NE01 FORTENBERRY SINGLE DAD,Support
HOUSE/NE01 FORTENBERRY VICTORY LAP,Contrast
HOUSE/NE01 FORTENBERRY WENDY RIDDER,Contrast
HOUSE/NE02 BACON BRAD ASHFORD,Support
HOUSE/NE02 BACON BRAVEST,Support
HOUSE/NE02 BACON CANCER,Support
HOUSE/NE02 BACON DEFUNDING THE POLICE,Support
HOUSE/NE02 BACON DON'T PHASE ME,Support
HOUSE/NE02 BACON LAVON STENNIS WILLIAMS,Support
HOUSE/NE02 BACON PORTLAND KENOSHA OMAHA,Contrast
HOUSE/NE02 BACON STIR CRAZY,Support
HOUSE/NE02 BACON TOO EXTREME,Contrast
HOUSE/NE02 BACON TOO MUCH DYSFUNCTION,Support
HOUSE/NE02 BACON VICKI AND TOM,Support
HOUSE/NE02 BACON&NRCC TOO PROGRESSIVE,Contrast
HOUSE/NE02 EASTMAN ADRIAN,Support
HOUSE/NE02 EASTMAN JOHN MCCOLLISTER,Contrast
HOUSE/NE02 EASTMAN LEAD,Support
HOUSE/NE02 EASTMAN MIKE BATTERSHELL,Support
HOUSE/NE02 EASTMAN PILL,Contrast
HOUSE/NE02 EASTMAN PURE DECEPTION,Contrast
HOUSE/NE02 EASTMAN SOLVE OLD PROBLEMS,Contrast
HOUSE/NE02 EASTMAN TOO MUCH BACON,Support
HOUSE/NE02 EASTMAN&DCCC DOMINO,Contrast
HOUSE/NE02 EASTMAN&DCCC PROTECT EVERY AMERICAN,Contrast
HOUSE/NE02 EASTMAN&DCCC WHO'S PAYING FOR IT,Contrast
HOUSE/NH01 MOWERS A BAR LIKE THIS,Contrast
HOUSE/NH01 MOWERS AHEAD 15,Contrast
HOUSE/NH01 MOWERS BRAINWASHED,Contrast
HOUSE/NH01 MOWERS SEABROOK,Contrast
HOUSE/NH01 MOWERS THE NEW HAMPSHIRE WAY,Support
HOUSE/NH01 MOWERS THE NEW HAMPSHIRE WAY INCOME TAX,Contrast
HOUSE/NH01 PAPPAS EVERYDAY,Support
HOUSE/NH01 PAPPAS RELIANCE ON CHINA,Support
HOUSE/NH01 PAPPAS ROB PRUYN,Support
HOUSE/NH01 PAPPAS SHADOW LOBBYIST,Contrast
HOUSE/NH02 KUSTER ALL HANDS ON DECK,Support
HOUSE/NH02 KUSTER ALMOST HALF,Support
HOUSE/NH02 KUSTER MICHAEL HERRMANN,Support
HOUSE/NJ02 KENNEDY OUT OF CONTROL,Contrast
HOUSE/NJ02 KENNEDY OUT OF CONTROL SP,Contrast
HOUSE/NJ02 KENNEDY SAY ANYTHING,Contrast
HOUSE/NJ02 KENNEDY SPENT MY LIFE,Support
HOUSE/NJ02 KENNEDY WHAT'S HAPPENING,Contrast
HOUSE/NJ03 KIM SERVING MY COMMUNITY,Support
HOUSE/NJ03 KIM SMALL BUSINESS OWNERS,Support
HOUSE/NJ03 KIM STARTED IN NATIONAL SECURITY,Support
HOUSE/NJ03 KIM TOM,Support
HOUSE/NJ03 KIM&DCCC KEEP BUSY,Attack
HOUSE/NJ03 KIM&DCCC NEVER BEEN MORE IMPORTANT,Support
HOUSE/NJ07 KEAN GOVERNOR,Support
HOUSE/NJ07 KEAN TOO DIVIDED,Support
HOUSE/NJ07 MALINOWSKI MAIN STREET,Support
HOUSE/NJ07 MALINOWSKI NO MATTER WHAT TRUMP DOES,Contrast
HOUSE/NJ07 MALINOWSKI WEAR A MASK,Support
HOUSE/NJ07 MALINOWSKI WHERE I STAND,Support
HOUSE/NM01 GARCIA-HOLMES DANGEROUS FOR NEW MEXICO,Contrast
HOUSE/NM01 GARCIA-HOLMES JUST THE FACTS,Contrast
HOUSE/NM01 GARCIA-HOLMES PEACEFUL PROTESTORS,Contrast
HOUSE/NM01 GARCIA-HOLMES THE NUMBERS,Contrast
HOUSE/NM02 HERRELL DC FRIENDS,Contrast
HOUSE/NM02 HERRELL HARRY TEAGUE 15,Support
HOUSE/NM02 HERRELL I CARE DEEPLY,Support
HOUSE/NM02 HERRELL JOBS,Support
HOUSE/NM02 HERRELL JOBS FARMS,Support
HOUSE/NM02 HERRELL MY DAD,Contrast
HOUSE/NM02 HERRELL TONY MACE,Contrast
HOUSE/NM02 TORRES-SMALL COST TOO MUCH,Support
HOUSE/NM02 TORRES-SMALL DELIVERING FOR FARMERS,Support
HOUSE/NM02 TORRES-SMALL DINO,Support
HOUSE/NM02 TORRES-SMALL FOUR GENERATIONS,Support
HOUSE/NM02 TORRES-SMALL HOW I UNWIND,Support
HOUSE/NM02 TORRES-SMALL IN THESE DIFFICULT TIMES SP,Support
HOUSE/NM02 TORRES-SMALL MY GRANDMOTHER SP,Support
HOUSE/NM02 TORRES-SMALL OUT HERE,Support
HOUSE/NM02 TORRES-SMALL PUBLIC LANDS,Support
HOUSE/NM02 TORRES-SMALL PUBLIC LANDS SP,Support
HOUSE/NM02 TORRES-SMALL REPRESENTING OUR COMMUNITY SP,Support
HOUSE/NM02 TORRES-SMALL THE BORDER,Support
HOUSE/NM02 TORRES-SMALL THE STORY OF MY FAMILY SP,Support
HOUSE/NM02 TORRES-SMALL THERE SHE GOES AGAIN,Attack
HOUSE/NM02 TORRES-SMALL THESE DAYS,Support
HOUSE/NM02 TORRES-SMALL WASHINGTON DOESN'T GET US,Support
HOUSE/NM02 TORRES-SMALL WHAT IT LOOKS LIKE,Support
HOUSE/NM02 TORRES-SMALL WHAT IT LOOKS LIKE MEN,Support
HOUSE/NM02 TORRES-SMALL&DCCC ESSENTIAL MEDICAL SERVICES 15 SP,Support
HOUSE/NM02 TORRES-SMALL&DCCC MADE THE PANDEMIC WORSE SP,Support
HOUSE/NM02 TORRES-SMALL&DCCC NAT WILLIAMS,Support
HOUSE/NM02 TORRES-SMALL&DCCC REPUBLICANS DON'T THINK SP,Support
HOUSE/NM02 TORRES-SMALL&DCCC REPUBLICANS IN WASHINGTON SP,Support
HOUSE/NM02 TORRES-SMALL&DCCC THE REPUBLICAN PLAN SP,Support
HOUSE/NM03 JOHNSON RUNNING FOR CONGRESS SP,Support
HOUSE/NV02 ACKERMAN MY MOTHER,Support
HOUSE/NV02 ACKERMAN UNEMPLOYMENT BENEFITS,Attack
HOUSE/NV02 AMODEI BEAUTIFUL FALL DAY 60,Support
HOUSE/NV02 AMODEI ENDURING THE CYCLE,Support
HOUSE/NV02 AMODEI HEROES ACT,Support
HOUSE/NV02 AMODEI NO GOOD ON THE ENVIRONMENT 60,Support
HOUSE/NV02 AMODEI NOTHING MORE DISRESPECTFUL,Support
HOUSE/NV02 AMODEI THE CARES ACT,Support
HOUSE/NV02 AMODEI TREATING VOTERS WITH RESPECT 60,Support
HOUSE/NV03 LEE 911 EMERGENCY,Support
HOUSE/NV03 LEE HE ADMITS IT,Contrast
HOUSE/NV03 LEE ON IT,Support
HOUSE/NV03 LEE THE RING,Contrast
HOUSE/NV03 RODIMER ON THE ATTACK,Contrast
HOUSE/NV03 RODIMER PAWN STARS,Contrast
HOUSE/NV03 RODIMER WIFE,Contrast
HOUSE/NV03 RODIMER WORKS FOR HERSELF,Contrast
HOUSE/NV04 HORSFORD ILEANA DROBKIN,Support
HOUSE/NV04 HORSFORD RALAYA ALLEN,Contrast
HOUSE/NV04 HORSFORD&DCCC RALAYA ALLEN,Contrast
HOUSE/NV04 HORSFORD&DCCC THE REPUBLICAN PLAN SP,Support
HOUSE/NV04 MARCHANT RADICAL LEFTISTS 15,Contrast
HOUSE/NV04 MARCHANT WHO HE SLEEPS WITH 15,Contrast
HOUSE/NY01 COBB A LOT OF DIFFERENT HATS,Support
HOUSE/NY01 COBB AIDA,Support
HOUSE/NY01 COBB BOUNTIES,Contrast
HOUSE/NY01 COBB COWARDICE,Contrast
HOUSE/NY01 COBB LEANN HOISSANT,Contrast
HOUSE/NY01 COBB PARTIES AND FUNDRAISERS,Contrast
HOUSE/NY01 COBB PETER FELDSTEIN,Contrast
HOUSE/NY01 COBB SLOW THE TESTING DOWN,Contrast
HOUSE/NY01 COBB STOOD UP,Contrast
HOUSE/NY01 COBB WANT YOU TO KNOW,Contrast
HOUSE/NY01 GOROFF MADE IT WORSE,Support
HOUSE/NY01 GOROFF SEEN THOSE ADS,Contrast
HOUSE/NY01 GOROFF WHEN COVID HIT,Attack
HOUSE/NY01 GOROFF WHEN I WORKED AT STONYBROOK,Support
HOUSE/NY01 ZELDIN AMY THOMAS,Support
HOUSE/NY01 ZELDIN DAD,Support
HOUSE/NY01 ZELDIN IN THIS TOGETHER,Support
HOUSE/NY01 ZELDIN RADICAL PROFESSOR,Contrast
HOUSE/NY02 GARBARINO GREW UP HERE,Support
HOUSE/NY02 GORDON ALL YOU CAN BE,Support
HOUSE/NY11 MALLIOTAKIS RADICAL BILL 15,Contrast
HOUSE/NY11 ROSE IT'S BEEN HELL,Support
HOUSE/NY11 ROSE LEARNING TO LIE,Contrast
HOUSE/NY11 ROSE PUT ON THE UNIFORM,Support
HOUSE/NY14 CUMMINGS GUN VIOLENCE,Contrast
HOUSE/NY14 CUMMINGS GUN VIOLENCE SP,Contrast
HOUSE/NY14 OCASIO-CORTEZ CONSEQUENCES,Support
HOUSE/NY19 DELGADO TOWN HALLS 2020,Support
HOUSE/NY20 JOY AS A MOM,Support
HOUSE/NY20 JOY UNDER ATTACK,Support
HOUSE/NY20 TONKO MORE CRITICAL THAN EVER,Support
HOUSE/NY20 TONKO SENDING OUR KIDS TO SCHOOL,Support
HOUSE/NY21 STEFANIK 2020 COWS,Support
HOUSE/NY21 STEFANIK ANDREW CUOMO,Contrast
HOUSE/NY21 STEFANIK FIVE THINGS,Attack
HOUSE/NY21 STEFANIK PROUD OF OUR SERVICE,Support
HOUSE/NY21 STEFANIK RIOTS LOOTING,Contrast
HOUSE/NY21 STEFANIK TAXIN TEDRA CUOMO,Contrast
HOUSE/NY21 STEFANIK TAXIN TEDRA DEFUND THE POLICE,Attack
HOUSE/NY21 STEFANIK TAXIN TEDRA MEDICARE FOR ALL,Attack
HOUSE/NY21 STEFANIK WHY THEY CALL HER,Attack
HOUSE/NY21 STEFANIK WORKING WITH TRUMP,Support
HOUSE/NY22 BRINDISI BOB MACIOL,Support
HOUSE/NY22 BRINDISI DOING WHAT'S RIGHT,Support
HOUSE/NY22 BRINDISI FACTORY AFTER FACTORY,Support
HOUSE/NY22 BRINDISI HOW SHE SOLD OUT MEDICARE,Attack
HOUSE/NY22 BRINDISI OUR POLITICS IS BROKEN,Support
HOUSE/NY22 BRINDISI REPUBLICANS,Support
HOUSE/NY22 BRINDISI SHERRILL MANUFACTURING,Support
HOUSE/NY22 BRINDISI TRUTH IS,Contrast
HOUSE/NY22 BRINDISI VIETNAM,Support
HOUSE/NY22 BRINDISI WHAT DO YOU THINK OF SPECTRUM,Attack
HOUSE/NY22 BRINDISI&DCCC MIKE LIBERATORE,Support
HOUSE/NY22 BRINDISI&DCCC WHAT DO YOU THINK OF SPECTRUM,Attack
HOUSE/NY22 TENNEY A TOTAL DISASTER,Contrast
HOUSE/NY22 TENNEY FINGER ON THE PULSE,Support
HOUSE/NY22 TENNEY IN HIS OWN WORDS,Contrast
HOUSE/NY22 TENNEY TICKS ME OFF,Contrast
HOUSE/NY22 TENNEY&NRCC CHAMPION FOR VETERANS,Contrast
HOUSE/NY22 TENNEY&NRCC FOCUSED ON ONE THING,Contrast
HOUSE/NY22 TENNEY&NRCC LAW ENFORCEMENT FIRST,Contrast
HOUSE/NY22 TENNEY&NRCC ONE THING,Contrast
HOUSE/NY23 MITRANO FORGOTTEN ABOUT US,Contrast
HOUSE/NY23 MITRANO WESTERN NEW YORK STORY,Contrast
